@RELATION entail

@ATTRIBUTE entail  {0,1}
@ATTRIBUTE MongeElkan       NUMERIC
@ATTRIBUTE MongeElkanLemma  NUMERIC
@ATTRIBUTE simNER           NUMERIC
@ATTRIBUTE rasioPanjangKal  NUMERIC

@DATA
0,0.821905,0.872789,1,0.409091
0,1,0.875,0.25,0.263415
1,0.904762,0.925,0,0.771429
1,0.933333,0.942857,0.666667,1
0,0.952381,0.7875,1,0.255682
1,0.9175,0.945455,0,1
1,0.625,0.7,0,0.867925
1,0.883333,0.8125,0,0.753788
1,0.955556,0.9,0.666667,0.243902
1,0.876191,0.8,0.4,0.253521
0,0.766667,0.6125,0,0.668449
1,0.884375,0.944444,0,1
0,0.866667,0.857143,0,0.264706
1,0.94,0.955556,0.571429,1
0,0.81697,0.761111,0.666667,0.38961
0,0.825,0.707143,0.666667,0.522388
0,0.705555,0.661905,1,0.536458
1,0.944444,0.8875,0.666667,0.423077
1,0.5625,0.492593,0,0.587302
0,1,1,0.857143,1
1,0.842857,0.791667,1,0.394872
1,0.941667,0.953333,0.4,0.8
1,0.844444,0.861905,0,1
0,0.777917,0.78037,1,0.647727
0,0.966667,0.971429,0.25,1
1,1,1,0.666667,1
0,0.940741,0.826667,0,0.519685
1,0.927778,0.861905,0.4,0.379487
1,0.802083,0.824074,0,1
0,0.561905,0.616667,0,0
1,1,1,1,1
0,0.911111,0.895238,0,1
1,0.98,0.833333,0,0.458904
0,0.874074,0.890909,0,0.240924
1,0.953333,0.957576,0.4,1
0,0.827778,0.827381,0,0.706667
1,0.866667,0.8625,0,0.636771
1,0.78819,0.830159,0,0.974359
0,0.679167,0.769577,0,0.612613
1,0.896667,0.933333,0,0.432749
1,0.698095,0.638889,0,0.281457
0,0.918518,0.94,0,1
1,1,0.944444,0,1
0,0.733611,0.757381,0,0.969072
1,0.888889,0.8,0.8,0.751131
1,0.952381,0.85,0.666667,0
1,0.977778,0.981818,0.4,1
1,0.8,0.9,0,1
1,0.88,0.733333,0,0.146739
1,1,1,0.666667,0.883212
0,0.806667,0.966667,0,1
1,1,0.875,1,0.290323
0,0,0,0,0.973684
1,0,0,0.5,0.0965517
1,0,0,0,0.733813
0,0,0,0,0.631579
1,0,0,0.5,0.580645
1,0,0,0,0.283582
1,0,0,0,0.961039
1,0,0,0.4,1
0,0,0,0,1
1,0,0,0,0.423963
1,0,0,1,0.225806
1,0,0,0.5,0.766423
0,0,0,0,1
0,0,0,0.571429,0.36747
0,0,0,0,0
1,0,0,0.8,0.302251
1,0,0,0.285714,0.254808
0,0,0,0.5,1
1,0,0,0.8,0.469136
1,0,0,0.333333,0.269231
1,0,0,0.666667,1
0,0,0,0.333333,0.468966
0,0,0,0.666667,1
0,0,0,0.666667,1
0,0,0,0.75,0.78
1,0,0,0.333333,1
1,0,0,1,1

