@relation entail_8_juni_commonstring

@attribute longCommonString numeric
@attribute jumPairCommonUrut numeric 
@attribute skorHs numeric
@attribute skorLc numeric
@attribute skorLe numeric
@attribute skorWp numeric
@attribute skorRe numeric
@attribute skorJc numeric
@attribute skorLi numeric
@attribute skorPa numeric
@attribute isEntail {0,1}

@data
1,4,5,1.3195286648076294,2.5,0.4,1.5689600685706366,0.08389298511466066,0.19814304014541542,0.25,0
4,10,0,0,0,0,0,0,0,0,1
3,5,5,2.5902671654458267,4,0.9,10,0,0,0.3333333333333333,0
2,4,0,0,0,0,0,0,0,0,0
5,6,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0
2,4,0,2.2335922215070942,0,0.5,0,0.09194754723172402,0,0.3333333333333333,0
3,6,0,2.2335922215070942,0,0.5,0,0.12316389305552713,0,0.3333333333333333,0
5,10,0,0.6019864021629681,0,0.13333333333333333,0,0.029405603748146224,0,0.045454545454545456,0
2,6,0,1.2628643221541276,0,0.3993808049535604,2.1921289770689336,0.07701251977674568,0.2372220395126382,0.09375,1
6,8,0,1.7227665977411035,0,0.3333333333333333,0,0.07261503485279805,0,0.2,0
2,3,0,1.742969305058623,0,0.6666666666666666,2.493384085748939,0.1201694162825443,0.3091204176878532,0.2,1
0,1,0,0,0,0,0,0,0,0,1
2,4,0,1.2909841813155656,0,0.4,0.6143639493869085,0.05179452617873473,0.05983349327786962,0.09090909090909091,0
3,5,0,0.4581453659370775,0,0.10526315789473684,0,0.028465094432712827,0,0.03125,0
5,10,0,0,0,0,0,0,0,0,1
2,4,0,0.9729550745276567,0,0.2777777777777778,1.1270652004051969,0.036734030746291974,0.11644960374504801,0.125,1
7,9,10,10,10,10,10,10,10,10,0
1,3,0,0,0,0,0,0,0,0,1
4,8,0,1.3862943611198906,0,0.4,0.7794168300527748,0.05593359995950929,0.08019857048533881,0.1,1
6,7,4,2.0794415416798357,0,0.8181818181818182,5.047955153620883,0.5270027988045503,0.8417864959654938,0.2,1
5,6,0,1.742969305058623,0,0.7272727272727273,1.9033026456664381,0.0644936324017663,0.1971107563980118,0.14285714285714285,0
1,3,1.5,0.8613832988705518,0,0.25,1.6475172805792022,0.06358428663884334,0.22797253347347693,0.1,0
3,5,10,10,10,10,10,10,10,10,1
2,5,5,5,5,5,5,5,5,5,0
2,5,0,0.34994070816622597,0,0.0784313725490196,0,0.01977866379790559,0,0.023809523809523808,1
3,6,3,1.7227665977411035,0,0.6666666666666666,5.233101532752692,0.11702991714995528,0.5505332899743646,0.2,0
4,6,0,1.742969305058623,0,0.5714285714285714,2.398244802296393,0.07599314882202828,0.26713100424429936,0.14285714285714285,0
1,3,0,1.1167961107535471,0,0.25,0,0.06123818576485412,0,0.16666666666666666,0
3,5,5,2.5375869076169133,1.5,0.8333333333333333,5.939300619673045,5.037591922982732,0.6226815997804798,0.6,0
4,7,10,10,10,10,10,10,10,10,0
3,5,4,2.639057329615259,5,0.8571428571428571,4.754831384271221,0.2687548921812813,0.7187668346907451,0.5,1
2,5,0,1.3862943611198906,0,0.25,0,0.06385939046308733,0,0.14285714285714285,0
2,5,0,0,0,0,0,0,0,0,1
2,7,3.3333333333333335,3.907588865913701,3.3333333333333335,3.4444444444444446,3.3333333333333335,3.36260930815693,3.3333333333333335,3.4,0
4,7,5,2.2335922215070942,2,0.6666666666666666,3.2950345611584044,0.13716520048960065,0.4747700963726394,0.3333333333333333,1
3,10,0,0,0,0,0,0,0,0,1
2,4,0,0.9729550745276567,0,0.2,0,0.05327946222047982,0,0.125,1
1,3,2.5,1.2951335827229133,0.5,0.4375,1.6912776486158267,0.10761345070115384,0.2964197390709513,0.16666666666666666,1
2,5,0,2.2335922215070942,0,0.5,0.7794168300527748,0.12255394256644855,0.14490099205983845,0.3333333333333333,1
2,3,2,1.3963957147786505,0,0.43014705882352944,1.1270652004051969,0.05201085720202678,0.13579059623911416,0.10714285714285714,1
2,5,5,5.861383298870551,5,5.166666666666667,5,5.041661050235806,5,5.1,0
7,8,0,0,0,0,0,0,0,0,0
2,5,0,0.9729550745276567,0,0.2,0.3897084150263874,0.04328160173190876,0.049673450181068904,0.125,0
3,4,10,10,10,10,10,10,10,10,0
1,4,0,0.7702225204735745,0,0.16666666666666666,0.30718197469345426,0.03240473892251115,0,0.08333333333333333,1
2,3,0,0,0,0,0,0,0,0,0
2,5,10,10,10,10,10,10,10,10,1
3,5,0,0,0,0,0,0,0,0,1
1,2,3,1.9459101490553135,0,0.46153846153846156,0.6143639493869085,0.09151017558331957,0.0711164418267148,0.25,0
4,8,0,0.6931471805599453,0,0.23529411764705882,1.4748239764252842,0.04847928133328108,0.18193126283962135,0.05,1
5,6,0,0,0,0,0,0,0,0,1
1,3,0,0,0,0,0,0,0,0,0
4,9,0,0.7702225204735745,0,0.14285714285714285,0,0.02743581557109657,0,0.08333333333333333,1
1,2,0,0,0,0,0,0,0,0,0
3,4,0,1.9459101490553135,0,0.46153846153846156,0.6143639493869085,0.11972668946239748,0.07231242290925671,0.25,1
1,3,5,1.9215150669705974,2,0.5619047619047619,2.3774156921356107,0.5172510170400803,0.45173051684389476,0.2916666666666667,1
2,5,5,5,5,5,5,5,5,5,0
