@relation entail_8_juni_commonstring

@attribute longCommonString numeric
@attribute jumPairCommonUrut numeric 
@attribute skorHs numeric
@attribute skorLc numeric
@attribute skorLe numeric
@attribute skorWp numeric
@attribute skorRe numeric
@attribute skorJc numeric
@attribute skorLi numeric
@attribute skorPa numeric
@attribute rasioJumPair numeric
@attribute jumKalAntarPair numeric
@attribute isEntail {0,1}

@data
1,5,0,0.7702225204735745,0,0.15,0.3897084150263874,0.03326503925988897,0,0.08333333333333333,0.7142857142857143,2,0
4,11,10,10,10,10,10,10,10,10,0.9166666666666666,2,1
3,6,2.5,1.2951335827229133,2,0.45,5,0,0,0.16666666666666666,0.8571428571428571,2,0
2,5,0,0,0,0,0,0,0,0,0.625,2,0
5,7,0,0,0,0,0,0,0,0,0.6363636363636364,1,0
2,4,0,0,0,0,0,0,0,0,0.5714285714285714,1,0
2,5,0,2.2335922215070942,0,0.5,0,0.09194754723172402,0,0.3333333333333333,0.8333333333333334,1,0
3,7,0,0,0,0,0,0,0,0,0.875,1,0
5,11,0,0.6019864021629681,0,0.13333333333333333,0,0.029405603748146224,0,0.045454545454545456,0.8461538461538461,2,0
2,7,0,0.4581453659370775,0,0.10526315789473684,0,0.025535901564600904,0,0.03125,0.7777777777777778,2,1
6,9,0,1.7227665977411035,0,0.3333333333333333,0,0.07261503485279805,0,0.2,0.9,1,0
3,5,0,1.742969305058623,0,0.6666666666666666,2.493384085748939,0.08972348926955949,0.3091204176878532,0.2,0.625,1,1
2,5,0,0.4904146265058631,0,0.18181818181818182,0.5846000591805708,0.03213712555157467,0.06533037667843529,0.03333333333333333,0.5555555555555556,2,0
3,6,2.5,1.2951335827229133,1,0.45,2.241843095275555,0.09516628349940079,0.31527887563822626,0.16666666666666666,0.6666666666666666,2,0
5,11,0,0,0,0,0,0,0,0,0.9166666666666666,1,1
4,8,2,0.6664409020350408,1.8,0.2,1.2948427768056168,2,0.2,0.2,0.5,5,1
2,5,0,0.9729550745276567,0,0.2777777777777778,1.1270652004051969,0.036734030746291974,0.11644960374504801,0.125,0.8333333333333334,2,1
7,10,0,0,0,0,0,0,0,0,0.9090909090909091,1,0
1,4,0,0,0,0,0,0,0,0,0.8,1,1
4,9,0,1.0498221244986778,0,0.23529411764705882,0,0,0,0.07142857142857142,0.8181818181818182,1,1
6,8,4,2.0794415416798357,0,0.8181818181818182,5.047955153620883,0.5270027988045503,0.8417864959654938,0.2,0.8888888888888888,1,1
5,7,0,1.742969305058623,0,0.7272727272727273,1.9033026456664381,0.0644936324017663,0.1971107563980118,0.14285714285714285,0.875,1,0
1,4,1.5,0.8613832988705518,0,0.25,1.6475172805792022,0.06358428663884334,0.22797253347347693,0.1,0.8,2,0
3,6,5,5,5,5,5,5,5,5,0.6,2,1
2,6,5,5,5,5,5,5,5,5,0.75,2,0
2,6,3.3333333333333335,3.6832740414995597,3.3333333333333335,3.411764705882353,3.3333333333333335,3.3531119971312386,3.3333333333333335,3.357142857142857,0.8571428571428571,3,1
3,7,1.5,0.8613832988705518,0,0.3333333333333333,2.616550766376346,0.05851495857497764,0.2752666449871823,0.1,0.5384615384615384,2,0
4,7,0,1.742969305058623,0,0.5714285714285714,2.398244802296393,0.07599314882202828,0.26713100424429936,0.14285714285714285,0.875,1,0
1,4,0,0,0,0,0,0,0,0,0.5,2,0
3,6,5,2.5375869076169133,1.5,0.8333333333333333,5.939300619673045,5.037591922982732,0.6226815997804798,0.6,0.75,2,0
4,8,0,1.1239300966523995,0,0.3333333333333333,0.7794168300527748,0,0,0.07692307692307693,0.8,1,0
3,6,7,6.319528664807629,7.5,5.428571428571429,7.37741569213561,5.134377446090641,5.359383417345373,5.25,0.75,2,1
2,6,0,1.3862943611198906,0,0.25,0,0.06385939046308733,0,0.14285714285714285,0.75,1,0
2,6,0,0,0,0,0,0,0,0,0.6,2,1
2,8,3.3333333333333335,3.907588865913701,3.3333333333333335,3.4444444444444446,3.3333333333333335,3.36260930815693,3.3333333333333335,3.4,0.8,3,0
4,8,5,2.2335922215070942,2,0.6666666666666666,3.2950345611584044,0.13716520048960065,0.4747700963726394,0.3333333333333333,0.8888888888888888,1,1
3,11,10,10,10,10,10,10,10,10,0.8461538461538461,3,1
2,5,0,0,0,0,0,0,0,0,0.5,2,1
1,4,2.5,1.2951335827229133,0.5,0.4375,1.6912776486158267,0.10761345070115384,0.2964197390709513,0.16666666666666666,0.6666666666666666,2,1
2,6,0,1.7227665977411035,0,0.4,0.7794168300527748,0.1087064169491466,0.14490099205983845,0.2,0.75,1,1
2,4,1.3333333333333333,0.9309304765191003,0,0.286764705882353,0.7513768002701312,0.034673904801351185,0.09052706415940943,0.07142857142857142,0.23529411764705882,3,1
2,6,5,5.861383298870551,5,5.166666666666667,5,5.041661050235806,5,5.1,0.75,2,0
7,9,2,1.8971199848858813,0,0.7368421052631579,1.823051582955165,0.08730741229167926,0.24146563448541938,0.16666666666666666,0.9,1,0
2,6,0,0.9729550745276567,0,0.2,0.3897084150263874,0.04328160173190876,0.049673450181068904,0.125,0.75,2,0
3,5,5,5,5,5,5,5,5,5,0.7142857142857143,2,0
1,5,0,0.5134816803157164,0,0.1111111111111111,0.2047879831289695,0.01903292922986145,0,0.05555555555555555,0.625,3,1
2,4,0,0.5249110622493389,0,0.15789473684210525,0.30718197469345426,0.030340424279566472,0.029987993926247614,0.03571428571428571,0.36363636363636365,2,0
2,6,5,5.346573590279973,5,5.086956521739131,5,5,5,5.025,0.6666666666666666,2,1
3,6,0,0,0,0,0,0,0,0,0.6,2,1
1,3,0,0.8613832988705518,0,0.16666666666666666,0,0.03336207691099823,0,0.1,0.3333333333333333,2,0
4,9,0,0,0,0,0,0,0,0,0.75,2,1
5,7,10,10,10,10,10,10,10,10,1,0,1
1,4,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.36363636363636365,3,0
4,10,0,0.7702225204735745,0,0.14285714285714285,0,0.02743581557109657,0,0.08333333333333333,0.8333333333333334,2,1
1,3,5,5.5619650483262,5,5.166666666666667,5.389708415026387,5.025419289988326,5.0367148349449,5.038461538461538,0.3,2,0
3,5,5,1.9459101490553135,0,0.4,0.7794168300527748,0.09064133710625452,0.1011061439401543,0.25,0.5555555555555556,1,1
1,4,5,1.9215150669705974,2,0.5619047619047619,2.3774156921356107,0.5172510170400803,0.45173051684389476,0.2916666666666667,0.5714285714285714,2,1
2,6,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0.8571428571428571,3,0
1,3,0,0.6931471805599453,0,0.2,0.3897084150263874,0.029177649885012792,0.041690661482551655,0.05,0.3,2,0
2,5,5,5,5,5,5,5,5,5,0.4166666666666667,2,1
0,2,10,1.742969305058623,8,0.9411764705882353,1.9033026456664381,0.07259911889683276,0.21651964574930907,0.14285714285714285,0.2857142857142857,1,1
3,7,5,5,5,5,5,5,5,5,0.6363636363636364,2,0
2,6,0,0.8047189562170501,0,0.26666666666666666,1.4748239764252842,0.0485751185645622,0.1821598880510851,0.0625,0.6666666666666666,2,1
6,9,10,10,10,10,10,10,10,10,0.8181818181818182,1,1
5,7,5,2.5902671654458267,2,0.9,4.227797188876366,0.11986780842350107,0.5033655839113409,0.3333333333333333,0.7777777777777778,1,0
1,4,0,0.4904146265058631,0,0.1111111111111111,0,0.02280805285314768,0,0.03333333333333333,0.4444444444444444,2,1
1,3,0,0.6931471805599453,0,0.2,0.3897084150263874,0.04020213288769431,0.05568860249325666,0.05,0.42857142857142855,2,1
5,7,0,0,0,0,0,0,0,0,0.875,1,0
2,5,0,0,0,0,0,0,0,0,0.7142857142857143,2,1
7,9,10,10,10,10,10,10,10,10,1,0,1
4,6,0,0,0,0,0,0,0,0,0.8571428571428571,1,0
2,6,0,0,0,0,0,0,0,0,0.6,3,0
3,8,0,0,0,0,0,0,0,0,0.8,1,0
5,8,10,10,10,10,10,10,10,10,0.8888888888888888,1,1
5,7,10,10,10,10,10,10,10,10,1,0,0
2,6,3,1.2951335827229133,0.5,0.45454545454545453,3.3775622772741594,0.45511961331341894,0.4623991131562038,0.16666666666666666,0.5,2,0
3,8,0,0.7702225204735745,0,0.25,1.4748239764252842,0.03907488831285845,0.157775364289565,0.08333333333333333,0.7272727272727273,2,1
2,5,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.45454545454545453,3,0
4,9,0,2.1242476210246792,0,0.45,1.1270652004051969,0.0388484504978934,0.12970585349110372,0.25,0.8181818181818182,2,1
2,6,5,5,5,5,5,5,5,5,0.5454545454545454,2,1
5,9,0,0.7702225204735745,0.5,0.14285714285714285,0,0.03234587410619606,0,0.08333333333333333,0.6923076923076923,2,1
10,16,0,0,0,0,0,0,0,0,0.9411764705882353,1,1
5,16,0,0,0,0,0,0,0,0,0.9411764705882353,3,0
1,5,5,5.861383298870551,5,5.166666666666667,5,5.035958692926916,5,5.1,0.625,2,1
2,5,0,1.1167961107535471,0,0.25,0,0.046766287984146775,0,0.16666666666666666,0.625,2,1
3,8,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.8,3,1
1,3,0,0,0,0,0,0,0,0,0.2,2,0
3,8,0,0,0,0,0,0,0,0,0.5714285714285714,2,1
4,9,0,0,0,0,0,0,0,0,0.75,1,0
2,6,0,0,0,0,0,0,0,0,0.4,3,1
1,4,0,0,0,0,0,0,0,0,0.5,3,0
11,18,0,0.8714846525293115,0,0.3333333333333333,1.9468429343888503,0,0,0.07142857142857142,0.8571428571428571,2,0
2,9,0,0,0,0,0,0,0,0,0.5625,3,0
5,12,10,10,10,10,10,10,10,10,1,1,0
2,7,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.6363636363636364,3,1
3,7,0,0.43032806043852184,0,0.125,0.2598056100175916,0.025574597564073362,0.03534218831909136,0.030303030303030304,0.5384615384615384,3,1
