@relation entail_30mei_label_satu

@attribute MongeElkan numeric
@attribute MongeElkanLemma numeric
@attribute simNER numeric
@attribute rasioPanjangKal numeric
@attribute simRoot numeric
@attribute simRootEksak numeric
@attribute simSubj numeric
@attribute simSubjEksak numeric
@attribute simObj numeric
@attribute simObjEksak numeric
@attribute simArgSubj numeric
@attribute simArgObj numeric
@attribute task {IE,IR,QA,SUM}
@attribute isEntail {0,1}

@data
0.821905,0.872789,1,0.409091,0,0,0,0,0,0,0,0,IE,0
1,0.875,0.25,0.263415,0.3157894736842105,0,0,0,0,0,0.16666666666666666,0,IE,0
0.904762,0.925,0,0.771429,0.5,0,1,1,0,0,0.5,0,IE,1
0.933333,0.942857,0.666667,1,0.25,0,0.26666666666666666,0.25,0,0,0.25,0,IE,1
0.952381,0.7875,1,0.255682,0.36363636363636365,0,0.5,0.5,0,0,0.36363636363636365,0,IE,0
0.9175,0.945455,0,1,0,0,0.058823529411764705,0,0,0,0.2857142857142857,0,IE,1
0.625,0.7,0,0.867925,0.2857142857142857,0,0.3055555555555555,0,0,0,0.5,0.5555555555555556,IE,1
0.883333,0.8125,0,0.753788,0,0,1,1,0,0,0,0,IE,1
0.955556,0.9,0.666667,0.243902,0.125,0,0,0,0,0,0,0,IE,1
0.876191,0.8,0.4,0.253521,0.2222222222222222,0,0.5,0.5,0,0,0.2222222222222222,0,IE,1
0.766667,0.6125,0,0.668449,0.3333333333333333,0,0,0,0.125,0,0.3333333333333333,0.5,IE,0
0.884375,0.944444,0,1,0,0,0,0,0,0,0,0,IE,1
0.866667,0.857143,0,0.264706,0.5,0,0,0,0,0,0,0,IE,0
0.94,0.955556,0.571429,1,0.47058823529411764,0,0.4,0.4,0,0,0.2857142857142857,0,IE,1
0.81697,0.761111,0.666667,0.38961,0.25,0,0,0,0.15384615384615385,0,0.25,0.25,IE,0
0.825,0.707143,0.666667,0.522388,0,0,0,0,0,0,0,0,IE,0
0.705555,0.661905,1,0.536458,0.3333333333333333,0,0,0,0,0,0,0,IE,0
0.944444,0.8875,0.666667,0.423077,0.4,0,1,1,0.5,0.5,0,0.8571428571428571,IE,1
0.5625,0.492593,0,0.587302,0,0,0,0,0,0,0,0,IE,1
1,1,0.857143,1,0.3333333333333333,0,0.24136321195144728,0.16666666666666666,0,0,0.3333333333333333,0.3333333333333333,IE,0
0.842857,0.791667,1,0.394872,0.6666666666666666,0,0,0,0,0,0,0,IE,1
