@RELATION entail

@ATTRIBUTE id               NUMERIC
@ATTRIBUTE MongeElkan       NUMERIC
@ATTRIBUTE MongeElkanLemma  NUMERIC
@ATTRIBUTE simNER           NUMERIC
@ATTRIBUTE rasioPanjangKal  NUMERIC
@ATTRIBUTE simRoot          NUMERIC 
@ATTRIBUTE simSubj          NUMERIC
@ATTRIBUTE simObj           NUMERIC
@ATTRIBUTE entail  {0,1}


@DATA
1179,0.821905,0.872789,1,0.409091,0,0,0,0
1212,1,0.875,0.25,0.263415,0.3157894736842105,0,0,0
29,0.904762,0.925,0,0.771429,0.5,1,0,1
42,0.933333,0.942857,0.666667,1,0.25,0.13333333333333333,0,1
1302,0.952381,0.7875,1,0.255682,0.36363636363636365,1,0,0
60,0.9175,0.945455,0,1,0,0.23529411764705882,0,1
75,0.625,0.7,0,0.867925,0.2857142857142857,0,0,1
1386,0.883333,0.8125,0,0.753788,0,1,0,1
4548,0.955556,0.9,0.666667,0.243902,0.25,0,0,1
1446,0.876191,0.8,0.4,0.253521,0.2222222222222222,1,0,1
1482,0.766667,0.6125,0,0.668449,0.3333333333333333,0,0.25,0
131,0.884375,0.944444,0,1,0,0,0,1
1545,0.866667,0.857143,0,0.264706,0.5,0,0,0
152,0.94,0.955556,0.571429,1,0.47058823529411764,0,0,1
1600,0.81697,0.761111,0.666667,0.38961,0.25,0,0.3076923076923077,0
1634,0.825,0.707143,0.666667,0.522388,0,0,0,0
1663,0.705555,0.661905,1,0.536458,0.3333333333333333,0,0,0
1698,0.944444,0.8875,0.666667,0.423077,0.4,1,1,1
1727,0.5625,0.492593,0,0.587302,0,0,0,1
216,1,1,0.857143,1,0.3333333333333333,0.7058823529411765,0,0
1780,0.842857,0.791667,1,0.394872,0.6666666666666666,0,0,1
1807,0.941667,0.953333,0.4,0.8,0,0,0,1
248,0.844444,0.861905,0,1,0.4,0,0,1
258,0.777917,0.78037,1,0.647727,0.631578947368421,0.16666666666666666,0,0
269,0.966667,0.971429,0.25,1,0.5,0,0.26666666666666666,0
295,1,1,0.666667,1,1,0.5882352941176471,0,1
2011,0.940741,0.826667,0,0.519685,1,0.26666666666666666,0,0
5037,0.927778,0.861905,0.4,0.379487,0.2857142857142857,0.4,0,1
334,0.802083,0.824074,0,1,0.2222222222222222,0,0,1
2145,0.561905,0.616667,0,0,0.3333333333333333,0,0,0
382,1,1,1,1,1,0,0,1
411,0.911111,0.895238,0,1,0,1,0,0
2299,0.98,0.833333,0,0.458904,1,1,0,1
2325,0.874074,0.890909,0,0.240924,0.5714285714285714,0,0,0
446,0.953333,0.957576,0.4,1,0.2857142857142857,0,0,1
501,0.827778,0.827381,0,0.706667,0.4,0.375,0.3076923076923077,0
515,0.866667,0.8625,0,0.636771,0.2857142857142857,0,0,1
534,0.78819,0.830159,0,0.974359,0.75,0.3333333333333333,0,1
547,0.679167,0.769577,0,0.612613,0.375,0,0.4,0
2656,0.896667,0.933333,0,0.432749,0.18181818181818182,0,0,1
2679,0.698095,0.638889,0,0.281457,1,0.19047619047619047,0,1
600,0.918518,0.94,0,1,0.3333333333333333,0.3333333333333333,0,0
633,1,0.944444,0,1,0.17391304347826086,0,0,1
648,0.733611,0.757381,0,0.969072,0,0,0,0
5760,0.888889,0.8,0.8,0.751131,0.2,0,0,1
5809,0.952381,0.85,0.666667,0,0,0.42857142857142855,0,1
724,0.977778,0.981818,0.4,1,1,0,0,1
755,0.8,0.9,0,1,0,1,0,1
3305,0.88,0.733333,0,0.146739,1,0.2222222222222222,1,1
793,1,1,0.666667,0.883212,0,0.14285714285714285,0,1
808,0.806667,0.966667,0,1,1,0,0,0
3402,1,0.875,1,0.290323,1,1,0,1
833,0,0,0,0.973684,0.23529411764705882,0.3333333333333333,0,0
6082,0,0,0.5,0.0965517,1,0,0,1
3510,0,0,0,0.733813,0.5,0,0,1
3541,0,0,0,0.631579,0,0.42857142857142855,0,0
3562,0,0,0.5,0.580645,0.4,0,0,1
3659,0,0,0,0.283582,0.4444444444444444,0,0,1
909,0,0,0,0.961039,0.15384615384615385,0.15384615384615385,0,1
917,0,0,0.4,1,0.3,0.2,0,1
945,0,0,0,1,1,0,0,0
3825,0,0,0,0.423963,0,0,0.2857142857142857,1
3859,0,0,1,0.225806,0.5,0.2222222222222222,1,1
6392,0,0,0.5,0.766423,0.3333333333333333,0,0,1
985,0,0,0,1,0.4,1,0.3,0
6421,0,0,0.571429,0.36747,0.14285714285714285,0.15384615384615385,0,0
3948,0,0,0,0,0,0,1,0
3970,0,0,0.8,0.302251,0,0.3333333333333333,0,1
6507,0,0,0.285714,0.254808,0.2857142857142857,0.5,0.14814814814814814,1
1051,0,0,0.5,1,0.4,0.14285714285714285,0.3157894736842105,0
4117,0,0,0.8,0.469136,0.3333333333333333,0.47058823529411764,0,1
4140,0,0,0.333333,0.269231,1,0,0,1
1083,0,0,0.666667,1,0.4,0,0,1
4191,0,0,0.333333,0.468966,0.4,0,0,0
1099,0,0,0.666667,1,1,0.47619047619047616,0.26666666666666666,0
1108,0,0,0.666667,1,0.2857142857142857,0.19047619047619047,1,0
1119,0,0,0.75,0.78,1,1,1,0
1130,0,0,0.333333,1,0.3333333333333333,0,0,1
1139,0,0,1,1,0.4,0.16666666666666666,0,1
