@RELATION entail

@ATTRIBUTE id               NUMERIC
@ATTRIBUTE MongeElkan       NUMERIC
@ATTRIBUTE MongeElkanLemma  NUMERIC
@ATTRIBUTE simNER           NUMERIC
@ATTRIBUTE rasioPanjangKal  NUMERIC
@ATTRIBUTE simRoot          NUMERIC 
@ATTRIBUTE simSubj          NUMERIC
@ATTRIBUTE simObj           NUMERIC
@ATTRIBUTE simArgSubj       NUMERIC
@ATTRIBUTE simArgObj        NUMERIC
@ATTRIBUTE entail  {0,1}


@DATA
8,0.983333,0.955556,0.4,1,0.4,0.35294117647058826,0,0.47058823529411764,0,1
10,0.955556,0.94,0.666667,1,0.25,0.3333333333333333,0,0.25,0,0
11,0.945,0.981818,0.571429,1,0.4,0,0,0,0,1
1177,0.93,0.945455,0.666667,0.283422,0.6,0,0,0,0,1
4379,0.93,0.945455,0.666667,0.663212,0.35294117647058826,0,0,0,0,1
1187,0.945455,0.866667,0.4,0.414286,0.4444444444444444,0,0,0,0,0
16,0.948148,1,0.444444,1,0.17391304347826086,0,0,0.7619047619047619,0,0
1198,0.925926,0.98,0.666667,0.472,0,0,0,0.7619047619047619,0,0
17,1,1,0.4,1,0.2857142857142857,1,0.2222222222222222,0.2857142857142857,0.3333333333333333,1
1199,1,0.857143,0.5,0.252,0.2857142857142857,1,1,0.2857142857142857,0.2857142857142857,1
18,0.95,0.96,0.4,1,0.3333333333333333,0,0,0.3333333333333333,0,0
1202,0.95,0.88,0.4,0.781553,0.3333333333333333,1,1,0.3333333333333333,0.3333333333333333,0
1212,1,0.875,0.25,0.263415,0.3157894736842105,0,0,0.16666666666666666,0,0
21,0.955556,0.96,0.4,1,0,0.16666666666666666,0.2222222222222222,0.25,0.5,1
25,0.933333,0.942857,0.8,1,0,1,0,0,0,0
4420,0.8,0.771429,0.8,0.482906,0,0,0,0,0,0
1230,0.966667,1,0.4,0.603774,0.4,0,0,0.4,0.4,0
1228,0.966667,0.955556,1,0.497696,0.4,0,0,0.4,0.4,0
1229,0.966667,0.955556,0.4,0.669811,0.4,0,0,0.4,0.4,0
32,0.925,0.922222,0.571429,1,0.4,0,0,0,0,0
35,0.964286,0.968254,0.444444,1,0.4,0.35294117647058826,0,0.4,0,1
37,0.96,0.911111,0.4,0.785047,0.2222222222222222,0.2857142857142857,0.2222222222222222,0.2222222222222222,0.18181818181818182,0
39,0.925,0.94,0.666667,1,0.875,0.19047619047619047,0.36363636363636365,0.21052631578947367,0.875,0
1272,0.958333,0.944444,0.285714,0.228972,0.3333333333333333,0,0,0,0,0
1271,0.933333,0.811111,0.333333,0.294393,0.3333333333333333,0,0,0,0,0
42,0.933333,0.942857,0.666667,1,0.25,0.13333333333333333,0,0.25,0,1
1276,0.933333,0.885714,0.8,0.345622,0.3333333333333333,1,0,0.3333333333333333,0,1
4449,0.933333,0.857143,0.222222,0.253659,0.2222222222222222,0.2222222222222222,0,0.2,0,1
49,0.977778,0.972,0.5,1,0.3333333333333333,0,0,0,0,1
1302,0.952381,0.7875,1,0.255682,0.36363636363636365,1,0,0.36363636363636365,0,0
52,0.942857,0.95,0.571429,1,0.35294117647058826,0,0,0.35294117647058826,0,0
1311,0.942857,0.875,0.8,0.610837,0.25,0,0,0,0,0
54,0.95625,0.955556,1,1,0.4,0,0,0.375,0,1
65,0.95625,1,0.666667,1,0.3333333333333333,1,0,0.3333333333333333,0.2857142857142857,1
1353,0.98,0.872727,0.5,0.403509,0.18181818181818182,0.21052631578947367,0,0.18181818181818182,0,0
1355,0.929861,0.823333,0.285714,0.263158,0.25,0,0,0,0,1
78,1,1,0.5,1,0.4,0,0,0.4,0,1
4508,0.971429,0.85,0.666667,0.290323,1,0,0,1,0,1
79,1,1,0.8,1,0.3333333333333333,1,0.3,0.3333333333333333,0.3333333333333333,1
80,1,0.988571,0.8,1,0.4,0,0.35294117647058826,0.4,0.5,0
1371,1,0.845714,0.666667,0.311765,0.3333333333333333,0,0.35294117647058826,0,0.5,0
84,1,1,1,1,0.18181818181818182,0.18181818181818182,1,1,1,0
87,0.950617,0.98,0.5,1,0.3333333333333333,0,0,0,0,1
88,0.9,0.971429,0.8,1,0.3333333333333333,0,0.5,0,0.3333333333333333,0
1396,0.9,0.885714,0.8,0.893333,0.3333333333333333,0,0,0,0,0
4548,0.955556,0.9,0.666667,0.243902,0.25,0,0,0,0,1
95,0.977778,1,0.4,1,1,0.25,0.4444444444444444,1,1,1
99,0.946667,0.962121,0.4,1,0.5,1,0.2222222222222222,0.5,0.3333333333333333,1
102,1,1,0.4,1,0.25,0.6666666666666666,1,0.25,1,0
103,0.903704,0.913333,0.8,1,0.4,0,0.3333333333333333,0.7,0.4,1
112,1,1,0.4,1,0.4,0,0,1,0,0
4591,1,0.933333,0.5,0.230769,0.35294117647058826,0,0,1,0,0
126,1,1,0.5,1,0.3333333333333333,0,0,0.3333333333333333,0,1
127,0.940741,0.95,0.666667,1,0.3333333333333333,0,0,0,0,0
128,0.946667,0.951515,0.857143,1,0.2,1,0,0.2,0,1
129,1,0.876667,0.666667,1,0.4,1,0.375,1,1,0
132,0.986667,1,0.5,1,0.2222222222222222,1,0,0.2222222222222222,0.3333333333333333,0
134,1,1,0.4,0.69898,0.2857142857142857,0,0,0.4,0,1
4620,0.966667,0.9375,0.5,0.258242,0.5263157894736842,0,0,0.4,0,1
136,0.952381,0.9375,0.75,1,0.21052631578947367,1,0.16666666666666666,0.21052631578947367,0,0
1530,0.952381,0.8875,0.8,0.631206,0,0,0.16666666666666666,0,0,0
142,0.966667,1,0.5,1,0.3333333333333333,0,0,0,0,0
144,0.952857,0.94,0.666667,1,0.4,1,0.2222222222222222,0.4,0.4,0
148,0.992857,1,1,1,0.2222222222222222,0,0,0.2222222222222222,0,1
4649,0.92415,0.918824,0.8,0.274038,1,0.18181818181818182,0,0.7272727272727273,0,1
149,0.95,1,0.8,1,1,0,0,1,0,1
1567,0.933333,0.888889,0.5,0.326203,1,0,0,1,0,1
4655,0.933333,0.941667,0.5,0.241107,0.3333333333333333,0,0,0.3333333333333333,0,0
1570,0.933333,0.9375,0.666667,0.668449,0.3333333333333333,0,0,0.3333333333333333,0,0
4653,0.933333,0.9375,0.666667,0.517544,0.3333333333333333,0,0,0.3333333333333333,0,0
152,0.94,0.955556,0.571429,1,0.47058823529411764,0,0,0.2857142857142857,0,1
154,1,1,0.4,1,0.2857142857142857,0,0,0.3333333333333333,0,0
155,0.981482,1,0.5,1,0,0,0,0,0,0
157,0.972222,1,0.5,1,0.5,0.3333333333333333,0.25,0.42857142857142855,0.42857142857142855,1
162,0.960606,0.977778,0.8,0.893443,0,1,0,0.21052631578947367,0,1
1591,0.960606,0.944444,0.8,0.251256,0.21052631578947367,0.2,0,0.21052631578947367,0,1
1592,0.960606,0.944444,0.8,0.422111,0,1,0,0,0,1
1590,0.954545,0.938889,0.5,0.422111,0.21052631578947367,0.2,0,0.21052631578947367,0,1
1619,0.96,0.966667,0.8,0.57377,0.4,0,0.4,0.35294117647058826,0.35294117647058826,0
1620,0.96,0.966667,0.8,0.418033,0.4,0,0,0,0,0
171,0.96,0.966667,0.8,0.955357,0.4,0,0,0,0,0
4686,0.93,0.941667,0.8,0.769231,0.3333333333333333,0,0,0.3333333333333333,0,0
6754,0.93,0.941667,0.8,0.245614,0,0,0,0,0,0
173,1,1,0.571429,1,0.5714285714285714,1,0,1,0,0
174,1,1,0.4,1,0.2857142857142857,1,0,1,0,1
1632,1,0.942857,0.666667,0.646018,0,1,0,0,0,1
1631,0.966667,0.914286,0.5,0.336283,0,1,0,0,0,1
1629,0.966667,0.914286,0.666667,0.230089,0.2222222222222222,0.3157894736842105,0,1,0,1
188,0.933333,1,0.444444,1,0.2857142857142857,0,0,0,0,1
1671,0.9,0.828571,0.8,0.610837,0.25,0,0,0,0,1
4743,0.975,0.933333,0.4,0.272727,0.35294117647058826,0,0.19047619047619047,0,0.35294117647058826,0
4744,0.975,0.933333,0.4,0.378788,0.35294117647058826,0,0.19047619047619047,0,0.35294117647058826,0
