@RELATION entail

@ATTRIBUTE id               NUMERIC
@ATTRIBUTE MongeElkan       NUMERIC
@ATTRIBUTE MongeElkanLemma  NUMERIC
@ATTRIBUTE simNER           NUMERIC
@ATTRIBUTE rasioPanjangKal  NUMERIC
@ATTRIBUTE simRoot          NUMERIC 
@ATTRIBUTE simSubj          NUMERIC
@ATTRIBUTE simObj           NUMERIC
@ATTRIBUTE simArgSubj       NUMERIC
@ATTRIBUTE simArgObj        NUMERIC
@ATTRIBUTE entail  {0,1}


@DATA
1169,0.983333,0.844444,1,0.696429,0.4,0.35294117647058826,0,0.4,0,1
10,0.955556,0.94,0.666667,1,0.25,0.3333333333333333,0,0.25,0,0
1174,0.82963,0.8,1,0.458333,0.25,0.3333333333333333,0,0.25,0,0
1173,0.731217,0.735,1,0.354167,0.25,0.3333333333333333,0,0.25,0,0
4378,0.718518,0.725,1,0.253886,0.21052631578947367,0,0,0,0,0
1172,0.620106,0.553333,1,0,0.25,0.3333333333333333,0,0.25,0,0
11,0.945,0.981818,0.571429,1,0.4,0,0,0,0,1
1179,0.821905,0.872789,1,0.409091,0,0,0,0,0,0
1185,0.757576,0.688889,1,0.714953,0.4444444444444444,0,0,0,0,0
17,1,1,0.4,1,0.2857142857142857,1,0.2222222222222222,0.2857142857142857,0.3333333333333333,1
4415,0.846296,0.761667,1,0.207483,0.25,0.16666666666666666,0.18181818181818182,0.25,0.5,1
1216,0.753704,0.678333,1,0.182292,0.25,0.16666666666666666,0.18181818181818182,0.25,0.5,1
25,0.933333,0.942857,0.8,1,0,1,0,0,0,0
4420,0.8,0.771429,0.8,0.482906,0,0,0,0,0,0
1224,0.890909,0.816667,0.666667,0.867347,0.3333333333333333,0.23529411764705882,0.21052631578947367,0.2222222222222222,0.2222222222222222,0
1228,0.966667,0.955556,1,0.497696,0.4,0,0,0.4,0.4,0
1227,0.908333,0.822222,1,0.414747,0.4,0,0,0.4,0.4,0
32,0.925,0.922222,0.571429,1,0.4,0,0,0,0,0
39,0.925,0.94,0.666667,1,0.875,0.19047619047619047,0.36363636363636365,0.21052631578947367,0.875,0
1269,0.883333,0.72,1,0.308411,0.7058823529411765,0.19047619047619047,0,0.7058823529411765,0,0
1268,0.7,0.58,1,0,0.21052631578947367,0.19047619047619047,0,0.21052631578947367,0,0
42,0.933333,0.942857,0.666667,1,0.25,0.13333333333333333,0,0.25,0,1
1276,0.933333,0.885714,0.8,0.345622,0.3333333333333333,1,0,0.3333333333333333,0,1
1277,0.933333,0.8,0.8,0.447005,0.25,0.13333333333333333,0,0.25,0,1
4442,0.883333,0.771429,1,0.461988,0.18181818181818182,0,0,0,0,1
47,0.853333,0.877778,1,1,0.4,0,0,0.5,0,1
49,0.977778,0.972,0.5,1,0.3333333333333333,0,0,0,0,1
1302,0.952381,0.7875,1,0.255682,0.36363636363636365,1,0,0.36363636363636365,0,0
51,0.908333,0.9,0.5,1,0.4,0,0,0.5,0,0
52,0.942857,0.95,0.571429,1,0.35294117647058826,0,0,0.35294117647058826,0,0
