@RELATION pair

@ATTRIBUTE label  {1,-1}
@ATTRIBUTE MongeElkan       NUMERIC
@ATTRIBUTE MongeElkanLemma  NUMERIC
@ATTRIBUTE simNER           NUMERIC
@ATTRIBUTE rasioPanjangKal  NUMERIC

@DATA
-1,0.888571,0.920408,0.333333,1
1,0.821905,0.872789,1,0.409091
-1,0.696667,0.759524,0.5,0.5
-1,0.621905,0.587075,0.666667,0.390374
-1,1,1,0.25,1
1,1,0.875,0.25,0.263415
-1,0.971429,0.85,0,0.304498
-1,0.8,0.7,0,0.211073
-1,0.8,0.7,0,0.119048
-1,0.764286,0.66875,0.333333,0.251701
-1,0.697619,0.62375,0.333333,0.180272
-1,0.628571,0.55,0,0.526829
-1,0.580952,0.5,0,0.380952
-1,0.580952,0.5,0,0.5
-1,0.914286,0.8875,0.285714,1
1,0.904762,0.925,0,0.771429
-1,0.904762,0.875,0,0.834356
-1,0.77619,0.75,0,0.723926
-1,0.752381,0.645833,0,0.333333
-1,0.647619,0.554167,0,0
-1,0.633333,0.554167,0,0.907975
-1,0.528571,0.4625,0,0.687117
1,0.933333,0.942857,0.666667,1
-1,0.933333,0.885714,0.8,0.345622
-1,0.933333,0.8,0.8,0.447005
-1,0.883333,0.771429,1,0.461988
-1,0.866667,0.742857,0.666667,0.767606
-1,0.7,0.6,0.666667,0.257009
-1,0.683333,0.585714,0.666667,0.281106
-1,0.6,0.514286,0,0.280374
-1,0.39,0.342857,0,0.365269
-1,1,1,0.285714,1
-1,1,0.85,0.4,0.462451
1,0.952381,0.7875,1,0.255682
-1,0.805714,0.68,0.5,1
-1,0.74381,0.627083,0,0.23
-1,0.9225,0.909091,0,0.359375
-1,0.92,0.945455,1,0.642336
1,0.9175,0.945455,0,1
-1,0.9,0.890909,0,0.125654
-1,0.823333,0.854546,1,0.169725
-1,0.815833,0.757576,0,0
-1,0.813333,0.8,1,0.238806
-1,0.78,0.745455,0,1
-1,0.76,0.684849,1,0.520833
-1,0.728809,0.741342,0,0.846715
-1,0.636667,0.606061,0,0.505495
-1,0.593333,0.563636,0,0.447761
-1,0.59,0.539394,0,0.643979
-1,0.55,0.487879,0,0.363184
-1,0.92,0.936,0,1
-1,0.858333,0.686667,0,0.248447
-1,0.695,0.556,0,0.335404
-1,0.633333,0.506667,0,0.478261
1,0.625,0.7,0,0.867925
-1,0.583333,0.546667,0,0.1841
-1,0.566667,0.466667,0,0.335329
-1,0.3625,0.29,0,0.407186
-1,0.883333,0.9125,0,1
1,0.883333,0.8125,0,0.753788
-1,0.883333,0.8125,0,0.869823
-1,0.75,0.5625,0,0.473485
-1,0.75,0.5625,0,0.594697
-1,0.7,0.525,0,0.946565
-1,0.7,0.525,0,0
-1,0.7,0.475,0,0.839695
-1,0.661111,0.6375,0,0.385093
-1,0.661111,0.6375,0,0.124224
-1,0.955556,0.94,0.333333,1
-1,0.955556,0.9,0.333333,0.368664
1,0.955556,0.9,0.666667,0.243902
-1,0.955556,0.84,0,0.0829268
-1,0.833333,0.742,0,0.282927
-1,0.806852,0.784167,0,0.252525
-1,0.759259,0.706667,0.4,0.304147
-1,0.741667,0.634167,0,0.290123
-1,0.726032,0.621429,0,0.868687
-1,0.651852,0.69,0,0.133603
-1,0.640741,0.533333,0,0.0864198
-1,0.618519,0.56,0,0.0864198
-1,0.608148,0.583333,0,0.343434
-1,0.594815,0.573333,0,0.823232
-1,0.92381,0.95,0,1
1,0.876191,0.8,0.4,0.253521
-1,0.847619,0.825,0,0.438272
-1,0.761905,0.7,0,0.491979
-1,0.55,0.566667,0,0.169014
-1,0.55,0.566667,0,0.338028
-1,0.497619,0.479167,0,0.200935
-1,0.933333,0.95,0,1
-1,0.933333,0.683333,0,0.148789
-1,0.911111,0.683333,0,0.42246
-1,0.911111,0.683333,0,0.397924
-1,0.866667,0.65,0,0
-1,0.766667,0.8625,0,0.556452
1,0.766667,0.6125,0,0.668449
-1,0.6,0.7,0,0.491935
-1,0.504762,0.338571,0,0.320856
-1,0.488889,0.377083,0,0
-1,0.371429,0.295238,0,0.298077
1,0.884375,0.944444,0,1
-1,0.654167,0.655556,0,0.420561
-1,0.619792,0.648148,0,0.588785
-1,0.966667,1,0.5,1
-1,0.944444,0.942857,0.5,0
1,0.866667,0.857143,0,0.264706
-1,0.727778,0.785714,0,0.693878
-1,0.724722,0.710476,0,0.623077
-1,0.621746,0.559048,0.5,0.47449
-1,0.488426,0.433333,0,0.417647
-1,0.432222,0.413333,0,0.564706
1,0.94,0.955556,0.571429,1
-1,0.786667,0.772222,0,0.252475
-1,0.706667,0.788889,0.5,1
-1,0.646667,0.544444,0.666667,0.887701
-1,0.596667,0.505556,0,0.154696
-1,0.566667,0.538889,0,0.367589
-1,0.563333,0.494444,0,0.292818
-1,0.48,0.411111,0,0.114625
-1,0.868485,0.955556,0,1
-1,0.844242,0.922222,0.666667,0.658683
1,0.81697,0.761111,0.666667,0.38961
-1,0.777576,0.85,0,0.157895
-1,0.668485,0.716667,0,0.232143
-1,0.601818,0.666667,0,0.159483
-1,0.540606,0.508333,0,0.24569
-1,0.966667,0.971429,0.285714,1
-1,0.858333,0.707143,0.666667,0.59204
1,0.825,0.707143,0.666667,0.522388
-1,0.825,0.678571,0,0.197605
-1,0.8,0.8,0,0.136646
-1,0.8,0.8,0,0.893805
-1,0.8,0.685714,0,0.385965
-1,0.559524,0.479592,0,0
-1,0.794444,0.852381,0.4,1
