@RELATION semua_ver_30mei

@ATTRIBUTE MongeElkan       NUMERIC
@ATTRIBUTE MongeElkanLemma  NUMERIC
@ATTRIBUTE simNER           NUMERIC
@ATTRIBUTE rasioPanjangKal  NUMERIC
@ATTRIBUTE simRoot          NUMERIC
@ATTRIBUTE simRootEksak     NUMERIC 
@ATTRIBUTE simSubj          NUMERIC 
@ATTRIBUTE simSubjEksak     NUMERIC
@ATTRIBUTE simObj           NUMERIC
@ATTRIBUTE simObjEksak      NUMERIC
@ATTRIBUTE simArgSubj       NUMERIC
@ATTRIBUTE simArgObj        NUMERIC
@ATTRIBUTE label             {1,-1}
@ATTRIBUTE isEntail           {0,1}

@DATA
0.888571,0.920408,0.333333,1,0.2,0,0,0,0,0,0.2,0,-1,0
0.621905,0.587075,0.666667,0.390374,0.2,0,0,0,0,0,0.2,0,-1,0
0.821905,0.872789,1,0.409091,0,0,0,0,0,0,0,0,1,0
0.696667,0.759524,0.5,0.5,0.2,0,0,0,0,0,0.2,0,-1,0
1,1,0.25,1,0.3157894736842105,0,0,0,0.2,0,0.2857142857142857,0.2857142857142857,-1,0
0.8,0.7,0,0.211073,0.3157894736842105,0,0,0,0,0,0.3157894736842105,0,-1,0
0.971429,0.85,0,0.304498,0.3157894736842105,0,0,0,0,0,0.16666666666666666,0,-1,0
1,0.875,0.25,0.263415,0.3157894736842105,0,0,0,0,0,0.16666666666666666,0,1,0
0.628571,0.55,0,0.526829,1,1,0,0,0.2,0,0.2857142857142857,0.2857142857142857,-1,0
0.8,0.7,0,0.119048,0.16666666666666666,0,0,0,0,0,0,0,-1,0
0.697619,0.62375,0.333333,0.180272,0.16666666666666666,0,0,0,0,0,0,0,-1,0
0.764286,0.66875,0.333333,0.251701,1,1,0,0,0,0,0,0,-1,0
0.580952,0.5,0,0.380952,0.3333333333333333,0,0,0,0,0,0,0,-1,0
0.580952,0.5,0,0.5,0.21052631578947367,0,0,0,0.2,0,0.2857142857142857,0.2857142857142857,-1,0
0.904762,0.925,0,0.771429,0.5,0,1,1,0,0,0.5,0,1,1
0.914286,0.8875,0.285714,1,0.4,0,0,0,0,0,0,0,-1,1
0.528571,0.4625,0,0.687117,0.5,0,1,1,0,0,0.5,0,-1,1
0.77619,0.75,0,0.723926,0.5,0,1,1,0,0,0.5,0,-1,1
0.904762,0.875,0,0.834356,0.5,0,1,1,0,0,0.5,0,-1,1
0.633333,0.554167,0,0.907975,0.4,0,0,0,0,0,0,0,-1,1
0.647619,0.554167,0,0,0.4,0,0,0,0,0,0,0,-1,1
0.752381,0.645833,0,0.333333,0.4,0,0,0,0,0,0,0,-1,1
0.866667,0.742857,0.666667,0.767606,0.2222222222222222,0,0.3942307692307692,0.375,0,0,0.2857142857142857,0,-1,1
0.933333,0.942857,0.666667,1,0.25,0,0.26666666666666666,0.25,0,0,0.25,0,1,1
0.7,0.6,0.666667,0.257009,0.2222222222222222,0,0.5,0.5,0,0,0.2222222222222222,0,-1,1
0.6,0.514286,0,0.280374,0.25,0,0.07692307692307693,0,0,0,0.25,0,-1,1
0.683333,0.585714,0.666667,0.281106,0.3333333333333333,0,0.5,0.5,0,0,0.3333333333333333,0,-1,1
0.933333,0.885714,0.8,0.345622,0.3333333333333333,0,0.5,0.5,0,0,0.3333333333333333,0,-1,1
0.933333,0.8,0.8,0.447005,0.25,0,0.03333333333333333,0,0,0,0.25,0,-1,1
0.39,0.342857,0,0.365269,0.3333333333333333,0,0,0,0,0,0,0,-1,1
0.883333,0.771429,1,0.461988,0.09090909090909091,0,0,0,0,0,0,0,-1,1
1,1,0.285714,1,0,0,0.5,0.5,0,0,0.36363636363636365,0,-1,0
