@relation entail_3juni_all

@attribute MongeElkan numeric
@attribute MongeElkanLemma numeric
@attribute simNER numeric
@attribute rasioPanjangKal numeric
@attribute simRoot numeric
@attribute simRootEksak numeric
@attribute simSubj numeric
@attribute simSubjEksak numeric
@attribute simObj numeric
@attribute simObjEksak numeric
@attribute simArgSubj numeric
@attribute simArgObj numeric
@attribute task {IE,IR,QA,SUM}
@attribute isEntail {0,1}

@data
0.773333,0.811111,0.5,0.245614,0.3,0,0,0,0,0,0,0,IE,0
0.93,0.945455,0.666667,0.283422,0.6,0,0,0,0,0,0,0,IE,1
0.821905,0.872789,1,0.409091,0,0,0,0,0,0,0,0,IE,0
0.69,0.691429,0,0.372549,0,0,0,0,0,0,0,0,IE,0
0.925926,0.98,0.666667,0.472,0,0,0,0,0,0,0.7619047619047619,0,IE,0
0.893333,0.844444,0,0.183391,0,0,0,0,0,0,0,0,IE,0
1,0.875,0.25,0.263415,0.3157894736842105,0,0,0,0,0,0.16666666666666666,0,IE,0
0.935714,0.92,0,1,0.5,0,0,0,0,0,0.5,0,IE,0
0.933333,0.942857,0.8,1,0,0,1,1,0,0,0,0,IE,0
0.940909,0.8625,0,0.784946,0.3333333333333333,0,1,1,0.2222222222222222,0,0.3333333333333333,0.2857142857142857,IE,0
0.904762,0.925,0,0.771429,0.5,0,1,1,0,0,0.5,0,IE,1
0.925,0.922222,0.571429,1,0.4,0,0,0,0,0,0,0,IE,0
0.916667,0.842857,0.4,0.157895,0,0,0,0,0,0,0,0,IE,1
0.933333,0.942857,0.666667,1,0.25,0,0.5666666666666667,0.5,0,0,0.25,0,IE,1
0.925,0.822222,0,0.365297,0,0,0,0,0,0,0,0,IE,1
0.952381,0.7875,1,0.255682,0.36363636363636365,0,1,1,0,0,0.36363636363636365,0,IE,0
0.871429,0.775,0.5,0.295858,0,0,0,0,0,0,0,0,IE,0
0.9175,0.945455,0,1,0,0,0.11764705882352941,0,0,0,0.2857142857142857,0,IE,1
0.935714,0.942222,0.285714,1,0.4,0,0.6764705882352942,0.5,1,1,0.4,0.4,IE,1
0.625,0.7,0,0.867925,0.2857142857142857,0,0.3055555555555555,0,0,0,0.5,0.5555555555555556,IE,1
1,1,1,1,0.18181818181818182,0,0.18181818181818182,0,0.6666666666666666,0.5,1,1,IE,0
0.883333,0.8125,0,0.753788,0,0,1,1,0,0,0,0,IE,1
0.955556,0.9,0.666667,0.243902,0.25,0,0,0,0,0,0,0,IE,1
0.876191,0.8,0.4,0.253521,0.2222222222222222,0,1,1,0,0,0.2222222222222222,0,IE,1
0.9,0.804167,0,0.296117,0,0,0,0,0,0,0,0,IE,0
0.766667,0.6125,0,0.668449,0.3333333333333333,0,0,0,0.25,0,0.3333333333333333,0.5,IE,0
0.884375,0.944444,0,1,0,0,0,0,0,0,0,0,IE,1
0.866667,0.857143,0,0.264706,0.5,0,0,0,0,0,0,0,IE,0
0.952857,0.94,0.666667,1,0.4,0,0.5,0.5,0.24444444444444444,0,0.4,0.4,IE,0
0.94,0.955556,0.571429,1,0.47058823529411764,0,0.6666666666666666,0.6666666666666666,0,0,0.2857142857142857,0,IE,1
0.81697,0.761111,0.666667,0.38961,0.25,0,0,0,0.3076923076923077,0,0.25,0.25,IE,0
1,1,0.571429,1,0.5714285714285714,0,1,1,0,0,1,0,IE,0
0.825,0.707143,0.666667,0.522388,0,0,0,0,0,0,0,0,IE,0
0.705555,0.661905,1,0.536458,0.3333333333333333,0,0,0,0,0,0,0,IE,0
0.866667,0.862222,0.4,0.573333,0,0,0,0,0,0,0,0,IE,0
0.944444,0.8875,0.666667,0.423077,0.4,0,1,1,1,1,0,0.8571428571428571,IE,1
1,0.857143,0.8,?,0.25,0,1,1,0,0,0.25,0,IE,0
0.5625,0.492593,0,0.587302,0,0,0,0,0,0,0,0,IE,1
1,1,0.857143,1,0.3333333333333333,0,0.6321195144724556,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,IE,0
0.842857,0.791667,1,0.394872,0.6666666666666666,0,0,0,0,0,0,0,IE,1
0.906061,0.841667,1,0.252252,1,1,0,0,0,0,0,0,IE,1
0.941667,0.953333,0.4,0.8,0,0,0,0,0,0,0,0,IE,1
0.75,0.6,0.5,0.483051,0.875,0,1,1,0,0,0.875,0,IE,1
0.844444,0.861905,0,1,0.4,0,0,0,0,0,0,0,IE,1
0.944444,0.941667,1,0.891304,0.3333333333333333,0,1,1,1,1,0.3333333333333333,0.3333333333333333,IE,0
0.777917,0.78037,1,0.647727,0.631578947368421,0,0.16666666666666666,0,0,0,0.631578947368421,0,IE,0
0.966667,0.971429,0.25,1,0.5,0,0.75,0.75,0.2583333333333333,0,0.4,0.4,IE,0
0.92,0.766667,0.666667,0.22807,0.3157894736842105,0,0,0,0.2222222222222222,0,0,0.4,IR,0
1,1,0.666667,1,1,1,0.5882352941176471,0,0,0,1,0,IR,1
0.940741,0.826667,0,0.519685,1,1,0.26666666666666666,0,0,0,1,0,IR,0
0.928571,0.9375,1,1,0.3333333333333333,0,0,0,0.6011904761904762,0.3333333333333333,0,1,IR,1
0.927778,0.861905,0.4,0.379487,0.2857142857142857,0,0.30526315789473685,0,0,0,0.2857142857142857,0,IR,1
0.802083,0.824074,0,1,0.2222222222222222,0,0,0,0,0,0.2222222222222222,0,IR,1
0.561905,0.616667,0,?,0.3333333333333333,0,0,0,0,0,0,0,IR,0
1,1,1,1,1,1,0.5,0.5,0,0,0.5,0,IR,1
0.911111,0.895238,0,1,0,0,1,1,0,0,0,0,IR,0
0.98,0.833333,0,0.458904,1,1,1,1,0,0,1,0,IR,1
0.874074,0.890909,0,0.240924,0.5714285714285714,0,0,0,0,0,0.5714285714285714,0,IR,0
0.953333,0.957576,0.4,1,0.2857142857142857,0,0,0,0,0,0,0,IR,1
0.8425,0.903704,0,1,0.3333333333333333,0,0.42857142857142855,0.42857142857142855,0.47222222222222215,0,0.3333333333333333,0.3333333333333333,IR,0
0.827778,0.827381,0,0.706667,0.4,0,0.375,0,0.3076923076923077,0,0.4,0.4,IR,0
0.866667,0.8625,0,0.636771,0.2857142857142857,0,0,0,0,0,0,0,IR,1
0.78819,0.830159,0,0.974359,0.75,0,0.3333333333333333,0,0,0,0.75,0,IR,1
1,1,1,0.662651,0.2,0,0.5882352941176471,0,0.5499999999999999,0.3333333333333333,0.2,1,IR,0
0.679167,0.769577,0,0.612613,0.375,0,0,0,0.4,0,0.7777777777777778,0.7777777777777778,IR,0
0.896667,0.933333,0,0.432749,0.18181818181818182,0,0,0,0,0,0,0,IR,1
0.698095,0.638889,0,0.281457,1,1,0.19047619047619047,0,0,0,1,0,IR,1
0.918518,0.94,0,1,0.3333333333333333,0,0.7777777777777778,0.6666666666666666,0,0,0.3333333333333333,0,IR,0
1,0.944444,0,1,0.17391304347826086,0,0,0,0,0,0,0,QA,1
0.733611,0.757381,0,0.969072,0,0,0,0,0,0,0,0,QA,0
