@relation entail_5_juni_ideal_parapharse

@attribute MongeElkan numeric
@attribute MongeElkanLemma numeric
@attribute simNER numeric
@attribute rasioPanjangKal numeric
@attribute simRoot numeric
@attribute simRootEksak numeric
@attribute simSubj numeric
@attribute simSubjEksak numeric
@attribute simObj numeric
@attribute simObjEksak numeric
@attribute simArgSubj numeric
@attribute simArgObj numeric
@attribute task {IE,IR,QA,SUM}
@attribute isEntail {0,1}

@data
0.773333,0.811111,0.5,1,0.3,0,0,0,0,0,0,0,IE,0
0.95,1,0.666667,1,1,1,0,0,0,0,0,0,IE,1
0.933333,0.952381,1,1,1,1,0,0,0,0,0,0,IE,0
0.756667,0.842857,0,1,0,0,0,0,0,0,0,0,IE,0
0.925926,0.98,0.666667,1,0.7619047619047619,0,0,0,0,0,0.7619047619047619,0,IE,0
0.893333,0.911111,0.5,1,1,1,0,0,0,0,1,0,IE,0
0.883333,0.906667,1,1,0.5,0,1,1,1,1,0.5,0.5,IE,0
0.933333,0.942857,1,1,0,0,1,1,0,0,0,0,IE,0
0.963636,0.966667,1,1,0.2222222222222222,0,1,1,0,0,0.2222222222222222,0,IE,0
0.904762,0.925,0,1,0,0,0,0,0,0,0,0,IE,1
0.916667,0.933333,1,1,0.3333333333333333,0,1,1,1,1,0.3333333333333333,0.3333333333333333,IE,0
0.883333,0.928571,1,0.648936,0.3333333333333333,0,0.2222222222222222,0,0,0,0.3333333333333333,0,IE,1
0.595556,0.59619,0,1,0.3333333333333333,0,0.19090909090909092,0,0,0,0.3333333333333333,0,IE,1
0.952381,0.9125,1,1,0.36363636363636365,0,1,1,0,0,0.36363636363636365,0,IE,0
0.857143,0.875,0.666667,1,0.7272727272727273,0,1,1,0,0,0.7272727272727273,0,IE,0
0.9825,1,1,1,0,0,1,1,0.4444444444444444,0,0,0,IE,1
0.858333,0.886667,0,1,0.5555555555555556,0,0.5,0.5,0.5740740740740741,0.5,0.2857142857142857,0.2857142857142857,IE,1
1,1,1,1,1,1,1,1,1,1,1,1,IE,0
0.8,0.875,0,1,0,0,1,1,1,1,0,0,IE,1
0.955556,0.96,1,1,0.23529411764705882,0,0,0,0,0,0,0,IE,1
0.952381,0.975,0.5,1,0.8181818181818182,0,1,1,0,0,0.8181818181818182,0,IE,1
1,0.984375,0.5,1,0.7272727272727273,0,1,1,0,0,0.7272727272727273,0,IE,0
0.8,0.833333,0.666667,1,0,0,0,0,0.25,0,0,0.5,IE,0
0.83125,0.877778,0,1,0,0,0,0,0,0,0,0,IE,1
1,1,0.666667,1,0.35294117647058826,0,0,0,0,0,0,0,IE,0
0.94,0.955556,1,1,0,0,0,0,0,0,0,0,IE,1
0.81697,0.844444,1,1,0.25,0,0.17391304347826086,0,0.3076923076923077,0,0.25,0.25,IE,0
0.888889,0.95,1,1,0.5714285714285714,0,1,1,0,0,0.5714285714285714,0,IE,0
0.717857,0.758163,0.666667,1,0,0,0,0,0,0,0,0,IE,0
0.811111,0.871429,1,1,0.35294117647058826,0,0,0,0,0,0,0,IE,0
0.9,0.944444,1,1,0.18181818181818182,0,0,0,0,0,0,0,IE,0
0.922222,0.9375,1,1,0,0,1,1,1,1,0,0.8571428571428571,IE,1
1,1,1,1,0,0,0,0,0,0,0,0,IE,0
0.766667,0.77037,0,1,0,0,0,0,0,0,0,0,IE,1
0.9375,0.953333,1,1,0.3333333333333333,0,0.5,0.5,0,0,0.25,0,IE,0
0.928571,0.975,1,1,0.6666666666666666,0,0,0,0,0,0,0,IE,1
0.963636,0.933333,1,1,1,1,0,0,0,0,0,0,IE,1
0.941667,0.953333,0.8,1,0,0,0,0,0,0,0,0,IE,1
0.75,0.8,0.5,1,0.875,0,1,1,0,0,0.875,0,IE,1
0.844444,0.861905,0,1,0.4,0,0,0,0,0,0,0,IE,1
0.731111,0.740625,0,1,0,0,0.5,0,0,0,0,0,IE,1
0.944444,0.941667,1,1,0.3333333333333333,0,1,1,1,1,0.3333333333333333,0.3333333333333333,IE,0
0.975,0.977778,1,1,1,1,0.7368421052631579,0,0,0,1,0,IE,0
0.911111,0.92381,0.8,1,0.4,0,0.5,0.5,0.26666666666666666,0,0.4,0.4,IE,0
0.92,0.933333,0.666667,1,0.4,0,0.35294117647058826,0,0.2222222222222222,0,0.4,0.4,IR,0
1,1,1,1,0.3076923076923077,0,0,0,0,0,0,0,IR,1
0.940741,0.926667,0,1,1,1,0.26666666666666666,0,0,0,1,0,IR,0
0.902857,0.915,1,1,1,1,0,0,1,1,0,1,IR,1
0.7625,0.774074,0,1,0.5,0,0,0,0.42857142857142855,0,0.5,0.5,IR,1
0.52449,0.666667,0,1,0.3333333333333333,0,0,0,0,0,0,0,IR,0
1,1,1,1,1,1,1,1,0,0,1,0,IR,1
1,1,0,1,1,1,1,1,0,0,1,0,IR,1
0.859259,0.915152,0.4,1,0.5714285714285714,0,0,0,0,0,0.5714285714285714,0,IR,0
0.878333,0.893939,0.5,1,0.2857142857142857,0,0,0,0,0,0,0,IR,1
0.764583,0.874074,0,1,0.3333333333333333,0,1,1,0.6666666666666666,0,0.3333333333333333,0.3333333333333333,IR,0
0.814286,0.8375,0,1,0.4,0,0,0,0,0,0,0,IR,1
0.580952,0.661111,0,1,0.75,0,0.4,0,0,0,0.75,0.75,IR,1
1,1,1,1,0.3333333333333333,0,0.5882352941176471,0,0.6111111111111112,0.5,0.3333333333333333,1,IR,0
0.6125,0.651058,0,1,0.5,0,0,0,0.4,0,0.5,0.5,IR,0
0.833333,0.909091,0,1,0.18181818181818182,0,0,0,0,0,0,0,IR,1
0.698095,0.805556,0,1,1,1,0.19047619047619047,0,0,0,1,0,IR,1
0.785185,0.833333,0.4,1,1,1,1,1,0,0,1,0,IR,0
0.809524,0.740741,0.5,1,0.21052631578947367,0,0.17391304347826086,0,0,0,0.21052631578947367,0,QA,1
0.977778,0.963636,1,1,1,1,0,0,0,0,0,0,QA,1
1,1,1,1,0.8,0,1,1,0,0,0.8,0,QA,0
0.742857,0.825,0,1,0,0,1,1,0,0,0,0,QA,1
0.804,0.9,0,1,1,0,0.2,0,0,0,1,0,QA,1
0.866667,0.857143,0.5,1,1,1,1,1,0,0,1,0,QA,0
0.866667,0.888889,0,1,1,1,0.5263157894736842,0,1,1,1,1,QA,1
1,1,1,1,1,1,1,1,0,0,1,0,QA,1
0.9,0.966667,0,1,1,1,0,0,0,0,0,0,QA,0
0.908333,0.925926,0.666667,1,1,1,1,1,0,0,1,0,QA,0
0.983333,0.97037,0,1,1,1,1,1,0,0,1,0,QA,0
1,1,1,1,1,1,1,1,0,0,1,0,QA,1
1,1,1,1,1,1,1,1,0,0,1,0,QA,0
0.66,0.690909,0.5,1,0.9090909090909091,0,1,1,0,0,0.9090909090909091,0,QA,0
0.814815,0.931818,0,1,0.5,0,0,0,0,0,0,0,QA,1
0.84,0.84303,0,1,0,0,0.2111111111111111,0,0,0,0,0,QA,0
0.962963,0.95,0.8,1,0.5,0,0,0,0,0,0,0,QA,1
0.868519,0.868056,0.666667,1,0.21052631578947367,0,0.2222222222222222,0,0,0,0.21052631578947367,0,QA,1
0.854545,0.933333,0.4,1,0.2857142857142857,0,0,0,0,0,0,0,SUM,1
0.976667,0.978125,1,1,0.5,0,1,1,1,1,0.5,1,SUM,1
0.986667,0.9875,1,1,1,1,1,1,0,0,1,0,SUM,0
0.888889,1,1,1,0.3333333333333333,0,1,1,1,1,0.3333333333333333,0.3333333333333333,SUM,1
0.675,0.740952,1,1,0.5,0,1,1,0,0,0.5,0.5,SUM,1
0.95,0.955556,1,1,1,1,0.18181818181818182,0,0.17391304347826086,0,1,0.2222222222222222,SUM,1
0.752564,0.815476,0.5,1,0.4,0,1,1,0.5326023391812865,0,0.4,0.25,SUM,0
0.831111,0.855238,1,1,0.3333333333333333,0,0.5,0,0,0,0.3333333333333333,0,SUM,1
0.833333,0.881944,1,1,0,0,1,1,0,0,0,0,SUM,0
0.874786,0.942857,1,1,0.4,0,0,0,0,0,0,0,SUM,1
0.838889,0.842857,0.333333,1,0.4,0,0,0,0,0,0,0,SUM,0
0.982456,0.97,0.4,1,1,1,0.38095238095238093,0,0.6333333333333333,0.5,0.35294117647058826,0.35294117647058826,SUM,0
0.871429,0.906667,1,1,0.2857142857142857,0,1,1,0.23529411764705882,0,0.2857142857142857,0.5,SUM,0
1,1,0.857143,1,1,1,1,1,1,1,1,1,SUM,0
0.888889,0.933333,1,1,0.3333333333333333,0,0,0,0,0,0,0,SUM,1
0.880303,0.888889,1,1,0.4,0,0.2875816993464052,0,0,0,0.35294117647058826,0,SUM,1
