@relation entail_30mei_label_satu-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute simNER numeric
@attribute rasioPanjangKal numeric
@attribute simRoot numeric
@attribute simRootEksak numeric
@attribute simSubj numeric
@attribute simSubjEksak numeric
@attribute simObj numeric
@attribute simObjEksak numeric
@attribute simArgSubj numeric
@attribute simArgObj numeric
@attribute task {IE,IR,QA,SUM}
@attribute isEntail {0,1}

@data
1,0.409091,0,0,0,0,0,0,0,0,IE,0
0.25,0.263415,0.315789,0,0,0,0,0,0.166667,0,IE,0
0,0.771429,0.5,0,1,1,0,0,0.5,0,IE,1
0.666667,1,0.25,0,0.566667,0.5,0,0,0.25,0,IE,1
1,0.255682,0.363636,0,1,1,0,0,0.363636,0,IE,0
0,1,0,0,0.117647,0,0,0,0.285714,0,IE,1
0,0.867925,0.285714,0,0.305556,0,0,0,0.5,0.555556,IE,1
0,0.753788,0,0,1,1,0,0,0,0,IE,1
0.666667,0.243902,0.25,0,0,0,0,0,0,0,IE,1
0.4,0.253521,0.222222,0,1,1,0,0,0.222222,0,IE,1
0,0.668449,0.333333,0,0,0,0.25,0,0.333333,0.5,IE,0
0,1,0,0,0,0,0,0,0,0,IE,1
0,0.264706,0.5,0,0,0,0,0,0,0,IE,0
0.571429,1,0.470588,0,0.666667,0.666667,0,0,0.285714,0,IE,1
0.666667,0.38961,0.25,0,0,0,0.307692,0,0.25,0.25,IE,0
0.666667,0.522388,0,0,0,0,0,0,0,0,IE,0
1,0.536458,0.333333,0,0,0,0,0,0,0,IE,0
0.666667,0.423077,0.4,0,1,1,1,1,0,0.857143,IE,1
0,0.587302,0,0,0,0,0,0,0,0,IE,1
0.857143,1,0.333333,0,0.63212,0.333333,0,0,0.333333,0.333333,IE,0
1,0.394872,0.666667,0,0,0,0,0,0,0,IE,1
0.4,0.8,0,0,0,0,0,0,0,0,IE,1
0,1,0.4,0,0,0,0,0,0,0,IE,1
1,0.647727,0.631579,0,0.166667,0,0,0,0.631579,0,IE,0
0.25,1,0.5,0,0.75,0.75,0.258333,0,0.4,0.4,IE,0
0.666667,1,1,1,0.588235,0,0,0,1,0,IR,1
