@relation semua_ver_30mei-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R11-12-weka.filters.unsupervised.attribute.Remove-R7-9-weka.filters.unsupervised.attribute.Remove-R1

@attribute MongeElkanLemma numeric
@attribute simNER numeric
@attribute rasioPanjangKal numeric
@attribute simRoot numeric
@attribute simRootEksak numeric
@attribute simObjEksak numeric
@attribute label {1,-1}

@data
0.920408,0.333333,1,0.2,0,0,-1
0.587075,0.666667,0.390374,0.2,0,0,-1
0.872789,1,0.409091,0,0,0,1
0.759524,0.5,0.5,0.2,0,0,-1
1,0.25,1,0.315789,0,0,-1
0.7,0,0.211073,0.315789,0,0,-1
0.85,0,0.304498,0.315789,0,0,-1
0.875,0.25,0.263415,0.315789,0,0,1
0.55,0,0.526829,1,1,0,-1
0.7,0,0.119048,0.166667,0,0,-1
0.62375,0.333333,0.180272,0.166667,0,0,-1
0.66875,0.333333,0.251701,1,1,0,-1
0.5,0,0.380952,0.333333,0,0,-1
0.5,0,0.5,0.210526,0,0,-1
0.925,0,0.771429,0.5,0,0,1
0.8875,0.285714,1,0.4,0,0,-1
0.4625,0,0.687117,0.5,0,0,-1
0.75,0,0.723926,0.5,0,0,-1
0.875,0,0.834356,0.5,0,0,-1
0.554167,0,0.907975,0.4,0,0,-1
0.554167,0,0,0.4,0,0,-1
0.645833,0,0.333333,0.4,0,0,-1
0.742857,0.666667,0.767606,0.222222,0,0,-1
0.942857,0.666667,1,0.25,0,0,1
0.6,0.666667,0.257009,0.222222,0,0,-1
0.514286,0,0.280374,0.25,0,0,-1
0.585714,0.666667,0.281106,0.333333,0,0,-1
0.885714,0.8,0.345622,0.333333,0,0,-1
0.8,0.8,0.447005,0.25,0,0,-1
0.342857,0,0.365269,0.333333,0,0,-1
0.771429,1,0.461988,0.090909,0,0,-1
1,0.285714,1,0,0,0,-1
0.68,0.5,1,0,0,0,-1
0.7875,1,0.255682,0.363636,0,0,1
0.85,0.4,0.462451,0.363636,0,0,-1
0.627083,0,0.23,0.090909,0,0,-1
0.945455,0,1,0,0,0,1
0.741342,0,0.846715,0.333333,0,0,-1
0.945455,1,0.642336,0,0,0,-1
0.606061,0,0.505495,0,0,0,-1
0.757576,0,0,0,0,0,-1
0.745455,0,1,0,0,0,-1
0.487879,0,0.363184,0,0,0,-1
0.563636,0,0.447761,0.25,0,0,-1
0.8,1,0.238806,0,0,0,-1
0.854546,1,0.169725,0,0,0,-1
0.539394,0,0.643979,0,0,0,-1
0.890909,0,0.125654,0.25,0,0,-1
0.909091,0,0.359375,0,0,0,-1
